peakLabel,peakID,peakMz,peakMzWidth[ppm],rt,rtmin,rtmax
Arabitol,1,151.0605,10,4.86,4.65,5.2
Xanthine,51,151.02585,10,4.35,4.18,4.53
Succinate,6,117.01905,10,1.67,0.87,2.5
Urocanate,77,137.0354,10,4.41,4.3,4.6
Mevalonate,63,147.0657,10,2.28,1.7,4.3
M113,113,102.05562,10,7.89,7.7,8.1
DAS,DAS,331.2336,10,8.62,8.55,8.7
Nicotinate,124,122.02455,10,3.12,2.75,3.75
M106,106,131.07115,10,3.98,3.1,6.2
M41,41,152.9955,10,7.88,7.7,8.1
M59,59,388.18725,10,4.84,4.7,5
MS4,S4,134.0181,10,4.89,4.6,5.4
Citrulline,CIT,174.0881,10,8.4,8.35,8.5
